shortdefinitions{
<ανά>γνωστος|hard to read
<εἰσ>παραδέχομαι|receive
<ρ>ρήξ|torn off
@Βύνη|the sea-goddess Ino
@Δῆλος|Delos
@Εὐσέβεια|patrons of
@Εὖρος|the East wind
@Θήρα|from Thera
@Κάδμος|the Cadmeans or ancient inhabitants of Thebes
@Κάρ|experimentum facere in corpore vili
@Κάρνειος|festival held in his honour
@Καρπάσιον|asbestos (from Carpasia
@Καρύϊνος|nut-brown
@Κλάριος1|distributing by lot
@Κλάριος2|of
@Κλάριος|distributing by lot
@Κρήτη|from Crete
@Κρόνος|a dotard, old fool
@Κύπριος|of Cyprus, Cyprian
@Κύπρος|from Cyprus
@Κώρυκος|spying out
@Κῦρος|the elder Cyrus
@Κῶς|to Cos
@Λ|os hyoïdes
@Λάμια|a fabulous monster said to feed on man's flesh
@Λίνδος|from Lindos
@Λίνος|the song or lay of Linos
@Λύκιος|the Lycians
@Μαιῆτις2|a fish caught there, and in the Nile
@Μυσός|a prey to all
@Μῆδος|Mede, Median
@Νέαιρα|Neaera
@Ξ|samech
@Πάνορμος|its people
@Πάρος|Paros
@Πηλούσιον1|inhabitant of P.
@Πηλούσιον|inhabitant of P.
@Πλάτων|broad-shouldered
@Πολιάς|guardian of the city
@Σ|shin
@Σάραπις|Osiris-Apis
@Σήρ|silkworm
@Σκῦρος|of or from Scyros
@Σμύρνα|of Smyrna
@Σπάρτη|from Sparta
@Σπανός|grey
@Συβαρίζω|live like a Sybarite or voluptuary
@Συρίζω|speak like a Syrian
@Σύρος2|Syrian
@Τυμωλίς1|inhabitants of T.
@Τυμωλίς|inhabitants of T.
@Φάρος|Pharos
@Χέω1|diffuse completely
@Χέω2|decant
@Χείμερος|unfitted to endure winter
@Χείρων|Cheiron
@Χειμάζω|winter in
@Χορος2|with fair dancing-grounds
@Χράομαι1|abuse
@Χράομαι2|exploit together
@Χροος1|of bad complexion
@Χροος2|beautiful-coloured
@Χροος|of bad complexion
@Χωρέω1|to be fond of dwelling in, haunt
@Χωρέω2|go away together
@Χωρισμός|renewed execution
@Ψ|kh
@α2|to be moistened
@αἶα2|avia.
@αὐονή1|dryness, withering, drought
@αὐονή2|cry
@αὐονή|dryness, withering, drought
@αὔω1|get a light, light a fire
@αὔω2|cry out, shout, call aloud
@αὔω|get a light, light a fire
@βάτος1|bramble, Rubus ulmifolius
@βάτος2|fish
@βάτος3|bath
@βάτος|bramble, Rubus ulmifolius
@βαθυδίνης1|deep-eddying
@βαθυδίνης|deep-eddying
@βαθόημι2|come to aid, succour, assist, aid
@βικίον2|vetch, Vicia sativa
@βορός1|gluttonous
@βορός2|juice of pressed grapes
@βορός|gluttonous
@βούβαστις1|five
@βούβαστις2|groin
@βούβαστις|five
@βραχίων1|arm
@βραχίων|arm
@βρόμος1|any loud noise
@βρόμος2|oats, Avena sativa
@βρόμος|any loud noise
@βρῶμος2|stink, noisome smell
@βύζω1|to be frequent
@βύζω2|hoot
@βύζω|to be frequent
@βύνη|malt for brewing
@βώμιος|of an altar
@βῆμα1|step, pace
@βῆμα|step, pace
@γάδος1|fish
@γάδος2|ganeo
@γάδος|fish
@γάνος1|brightness, sheen
@γάνος2|Ber. Sächs.Gesellsch.
@γάνος|brightness, sheen
@γευστός|that may be tasted
@γνωτός1|perceived, understood, known
@γνωτός2|kinsman, kinswoman
@γνωτός|perceived, understood, known
@δάνος1|gift, present
@δάνος|gift, present
@δέλλις1|wasp
@δέλλις|wasp
@δέλτος2|writing-tablet
@δέω1|bind, tie, fetter
@δέω2|lack, miss, stand in need of
@δέω|bind, tie, fetter
@δήν|for a long while
@δήω1|find, meet with
@δήω2|burn
@δήω|find, meet with
@δίοπος1|ruler, commander
@δίοπος2|with two holes
@δίοπος|ruler, commander
@δίς|twice, doubly
@δαΐς1|fire-brand, pinetorch
@δαΐς|fire-brand, pinetorch
@δαίς2|meal, banquet
@δαίω1|dunō óti
@δαίω2|divide
@δαίω|dunō óti
@δαλός1|fire-brand
@δαλός|fire-brand
@δαῦκος1|Cretensis
@δαῦκος|Cretensis
@δείλομαι1|verge towards afternoon
@δείλομαι|verge towards afternoon
@δεύω1|wet, drench
@δεύω2|miss, want
@δεύω|wet, drench
@δεῖνος2|different round vessels
@δηλέομαι1|hurt, do a mischief to
@δηλέομαι|hurt, do a mischief to
@δητός1|bundle
@δητός|bundle
@διαδικέω1|contend at law
@διαδικέω2|do wrong, injure
@διαδικέω|contend at law
@διαείδω1|discern, distinguish
@διαείδω2|contend in singing
@διαείδω|discern, distinguish
@δορά1|skin when taken off, hide
@δορά|skin when taken off, hide
@δοῦλος1|born bondman or slave
@δοῦλος|born bondman or slave
@δράω1|do, accomplish
@δράω|do, accomplish
@δυσαχής2|most painful
@δόλος1|bait
@δόλος|bait
@δόμα1|gift
@δόμα|gift
@δύσαυλος1|bad for lodging, inhospitable
@δύσαυλος2|an unhappy
@δύσαυλος|bad for lodging, inhospitable
@δύστομος1|hard-mouthed
@δύστομος2|hard to cut
@δύστομος|hard-mouthed
@δύω2|cause to sink, sink, plunge in
@δῆλος|visible, conspicuous
@δῖος1|heavenly
@δῖος|heavenly
@εἰ1|if
@εἰ|if
@εἴκω1|to be like, seem likely
@εἴκω2|give way, retire
@εἴκω|to be like, seem likely
@εἴρη1|a place of assembly
@εἴρη2|rainbow
@εἴρη|a place of assembly
@εἴρω1|fasten together in rows, string
@εἴρω2|say, speak, tell
@εἴρω3|ask
@εἴρω|fasten together in rows, string
@εὐήτριος1|with good or fine thread, well-woven
@εὐήτριος|with good or fine thread, well-woven
@εὐαγής1|free from pollution, pure
@εὐαγής3|bright, clear
@εὐαγής|free from pollution, pure
@εὐθαλής1|blooming, flourishing, thriving
@εὐθαλής2|flourishing, thriving
@εὐθαλής|blooming, flourishing, thriving
@εὐκράς1|temperate, of even temperature
@εὐκράς|temperate, of even temperature
@εὐκτέανος1|wealthy
@εὐκτέανος|wealthy
@εὐοψία1|abundance of
@εὐοψία2|good looks
@εὐοψία|abundance of
@εὐσέβεια|reverence towards the gods or parents, piety
@εὐωπός1|friendly
@εὐωπός2|sea-fish
@εὐωπός|friendly
@εὐώνυμος1|of good name, honoured
@εὐώνυμος2|spindle-tree, Euonymus europaeus
@εὐώνυμος|of good name, honoured
@εὔκηλος1|free from care, at one's ease
@εὔκηλος2|easily burning
@εὔκηλος|free from care, at one's ease
@εὔρινος2|of good leather
@εὖνις1|reft of, bereaved of
@εὖνις2|bedfellow, wife
@εὖνις|reft of, bereaved of
@εὖρος|breadth, width
@θέα2|seeing, looking at
@θέα|seeing, looking at
@θέω1|dhávate
@θέω2|shine, gleam
@θέω|dhávate
@θήρα|hunting of wild beasts, the chase
@θειώδης1|sulphureous
@θειώδης2|divine.
@θειώδης|sulphureous
@θεσμοφόριον1|temple of Demeter
@θεσμοφόριον|temple of Demeter
@θεῖον1|brimstone
@θεῖον2|the Divinity
@θεῖον|brimstone
@θεῖος1|of or from the gods, divine
@θεῖος2|one's father's or mother's brother, uncle
@θεῖος|of or from the gods, divine
@θοάζω1|move quickly, ply rapidly
@θοάζω2|sit
@θοάζω|move quickly, ply rapidly
@θολία1|conical hat with broad brim
@θολία|conical hat with broad brim
@θολός1|mud, dirt
@θολός|mud, dirt
@θοός1|quick, nimble
@θοός2|pointed, sharp
@θοός|quick, nimble
@θρέπτρα2|a nurse
@θρᾷττα|a small sea-fish
@θυμώδης1|fierce
@θυμώδης2|like thyme
@θυμώδης|fierce
@θύμος2|warty excrescence
@θύω1|offer by burning
@θύω2|rage, seethe
@θύω|offer by burning
@ιος1|mocking, taunting
@ιος|mocking, taunting
@κάλλιον2|board or bench of magistrates
@κάλπη1|trot
@κάλπη2|pitcher
@κάλπη|trot
@κάννα2|pole-reed, Arundo Donax
@κάρ2|s worth
@κάρα1|head
@κάρα2|tame goat
@κάρα|head
@κάστωρ|beaver, Castor fiber
@κάταγμα1|wool drawn or spun out, worsted
@κάταγμα2|fragment
@κάταγμα|wool drawn or spun out, worsted
@κάτισις1|division into parts
@κάτισις|division into parts
@κάτοπτος1|visible
@κάτοπτος2|dried-up
@κάτοπτος|visible
@κέρχνος2|rough excrescence
@κέρχνος3|rough, hoarse
@κίρκη|bird
@καί1|and
@καί2|and now
@καί3|and so
@καί4|and indeed, and further
@καί|and
@κακκάβη1|three-legged pot
@κακκάβη2|partridge
@κακκάβη|three-legged pot
@καλόπους2|with beautiful feet
@καρπάσιον|flax
@καρπίζω1|enjoy the fruits of
@καρπίζω2|enfranchise a slave by touching him with the rod
@καρπίζω|enjoy the fruits of
@καρπισμός1|exhaustion
@καρπισμός2|vindiciae
@καρπισμός|exhaustion
@καρπός1|fruit
@καρπός2|wrist
@καρπός|fruit
@καρύϊνος|of nuts
@κατά1|downwards.
@κατά|downwards.
@καταδέω1|bind on or to, bind fast
@καταδέω2|lack, need
@καταδέω|bind on or to, bind fast
@καταδεής1|wanting in, lacking
@καταδεής2|timid
@καταδεής|wanting in, lacking
@κατακλάω2|break short, snap off
@καταλέγω1|lay down
@καταλέγω2|recount, tell at length and in order
@καταλέγω|lay down
@καταλεύω1|stone to death
@καταλεύω|stone to death
@κατανέω1|heap, pile up
@κατανέω2|spin out
@κατανέω|heap, pile up
@καταπλώω1|sail down
@καταπλώω|sail down
@κατισμός2|placing among the stars
@καὶ1|for also, for in fact
@καὶ3|so now
@καὶ|for also, for in fact
@καῦσος1|causus
@καῦσος|causus
@κείω1|to lie down
@κείω2|cleave
